pointA,pointB,layer_name,origin-insertion,origin,insertion
"[1292, 1245, 1556]","[1447, 1336, 1888]",RM ThCo 1,ThCo,Th,Co
"[1296, 1234, 1558]","[1460, 1322, 1882]",RM ThCo 1,ThCo,Th,Co
"[1300, 1222, 1566]","[1470, 1308, 1884]",RM ThCo 1,ThCo,Th,Co
"[1307, 1220, 1589]","[1460, 1303, 1887]",RM ThCo 1,ThCo,Th,Co
"[1272, 1252, 1568]","[1434, 1336, 1893]",RM ThCo 1,ThCo,Th,Co
"[1262, 1270, 1565]","[1435, 1351, 1888]",RM ThCo 1,ThCo,Th,Co
"[1248, 1279, 1587]","[1447, 1316, 1891]",RM ThCo 1,ThCo,Th,Co
"[1301, 1260, 1636]","[1427, 1311, 1875]",RM ThCo 1,ThCo,Th,Co
"[1310, 1249, 1639]","[1412, 1298, 1847]",RM ThCo 1,ThCo,Th,Co
"[1284, 1247, 1614]","[1402, 1305, 1848]",RM ThCo 1,ThCo,Th,Co
"[1258, 1279, 1623]","[1405, 1322, 1861]",RM ThCo 1,ThCo,Th,Co
"[1236, 1310, 1627]","[1420, 1323, 1874]",RM ThCo 1,ThCo,Th,Co
"[1234, 1286, 1576]","[1416, 1349, 1874]",RM ThCo 1,ThCo,Th,Co
"[1362, 1236, 1670]","[1413, 1281, 1820]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1386, 1239, 1689]","[1426, 1286, 1824]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1404, 1225, 1709]","[1425, 1278, 1824]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1407, 1245, 1709]","[1435, 1284, 1815]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1428, 1241, 1704]","[1439, 1277, 1807]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1438, 1239, 1743]","[1447, 1276, 1836]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1459, 1236, 1756]","[1461, 1273, 1843]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1475, 1240, 1753]","[1466, 1275, 1841]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1455, 1240, 1699]","[1460, 1269, 1812]",RM ThCo 2 (same as 1?),ThCo,Th,Co
"[1392, 1230, 1639]","[1575, 1339, 1818]",RM ThCo 3,ThCo,Th,Co
"[1371, 1229, 1631]","[1568, 1341, 1823]",RM ThCo 3,ThCo,Th,Co
"[1373, 1224, 1588]","[1558, 1330, 1784]",RM ThCo 3,ThCo,Th,Co
"[1355, 1224, 1563]","[1565, 1356, 1814]",RM ThCo 3,ThCo,Th,Co
"[1325, 1224, 1539]","[1548, 1413, 1792]",RM ThCo 3,ThCo,Th,Co
"[1339, 1223, 1534]","[1561, 1391, 1805]",RM ThCo 3,ThCo,Th,Co
"[1360, 1223, 1535]","[1564, 1371, 1810]",RM ThCo 3,ThCo,Th,Co
"[1340, 1228, 1514]","[1532, 1430, 1782]",RM ThCo 3,ThCo,Th,Co
"[1357, 1228, 1510]","[1539, 1414, 1781]",RM ThCo 3,ThCo,Th,Co
"[1386, 1227, 1540]","[1574, 1356, 1799]",RM ThCo 3,ThCo,Th,Co
"[1396, 1227, 1488]","[1569, 1351, 1784]",RM ThCo 3,ThCo,Th,Co
"[1375, 1226, 1509]","[1569, 1384, 1800]",RM ThCo 3,ThCo,Th,Co
"[1368, 1231, 1489]","[1553, 1411, 1788]",RM ThCo 3,ThCo,Th,Co
"[1388, 1234, 1474]","[1567, 1387, 1793]",RM ThCo 3,ThCo,Th,Co
"[1410, 1227, 1462]","[1561, 1362, 1780]",RM ThCo 3,ThCo,Th,Co
"[1446, 1232, 1535]","[1561, 1320, 1766]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1482, 1235, 1624]","[1585, 1333, 1817]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1493, 1236, 1642]","[1570, 1316, 1777]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1481, 1238, 1665]","[1576, 1318, 1797]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1493, 1240, 1696]","[1578, 1308, 1814]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1497, 1239, 1724]","[1574, 1305, 1824]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1496, 1244, 1763]","[1580, 1314, 1838]",RM ThCo 4 (same as 3?),ThCo,Th,Co
"[1491, 1532, 1787]","[1594, 1413, 1958]",RM ThTr? 1,ThTr?,Th,Tr?
"[1468, 1555, 1795]","[1561, 1442, 1933]",RM ThTr? 1,ThTr?,Th,Tr?
"[1438, 1570, 1809]","[1556, 1434, 1944]",RM ThTr? 1,ThTr?,Th,Tr?
"[1436, 1583, 1819]","[1517, 1468, 1915]",RM ThTr? 1,ThTr?,Th,Tr?
"[1416, 1598, 1828]","[1485, 1487, 1898]",RM ThTr? 1,ThTr?,Th,Tr?
"[1376, 1596, 1836]","[1463, 1512, 1886]",RM ThTr? 1,ThTr?,Th,Tr?
"[1393, 1546, 1864]","[1510, 1466, 1920]",RM ThTr? 1,ThTr?,Th,Tr?
"[1099, 1743, 1613]","[1420, 1519, 1854]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1123, 1756, 1627]","[1416, 1527, 1852]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1113, 1757, 1649]","[1405, 1540, 1845]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1061, 1737, 1623]","[1373, 1542, 1830]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1063, 1748, 1643]","[1348, 1568, 1821]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1037, 1726, 1652]","[1332, 1562, 1816]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1048, 1732, 1669]","[1311, 1580, 1809]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1060, 1729, 1698]","[1267, 1607, 1791]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1077, 1744, 1687]","[1287, 1605, 1796]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1101, 1753, 1676]","[1326, 1589, 1812]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1101, 1751, 1699]","[1331, 1587, 1819]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1096, 1731, 1727]","[1322, 1589, 1818]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1065, 1710, 1725]","[1300, 1591, 1812]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1050, 1704, 1703]","[1268, 1598, 1795]",RM ThTr? 2 (insert=1),ThTr?,Th,Tr?
"[1054, 1640, 1712]","[1436, 1500, 1873]","RM ThTr 3 (origin~=2, insert=1&2)",ThTr,Th,Tr
"[1064, 1611, 1738]","[1453, 1480, 1888]","RM ThTr 3 (origin~=2, insert=1&2)",ThTr,Th,Tr
"[1060, 1664, 1722]","[1377, 1527, 1842]","RM ThTr 3 (origin~=2, insert=1&2)",ThTr,Th,Tr
