pointA,pointB,layer_name,origin-insertion,origin,insertion
"[1309, 1078, 1009]","[1380, 940, 1111]",LF ThCo 1,ThCo,Th,Co
"[1317, 1075, 1010]","[1387, 939, 1111]",LF ThCo 1,ThCo,Th,Co
"[1320, 1068, 1011]","[1383, 932, 1098]",LF ThCo 1,ThCo,Th,Co
"[1312, 1072, 1005]","[1378, 934, 1098]",LF ThCo 1,ThCo,Th,Co
"[1321, 1055, 1000]","[1383, 921, 1083]",LF ThCo 3 (same muscle as 1?),ThCo,Th,Co
"[1309, 1028, 1004]","[1378, 914, 1071]",LF ThCo 3 (same muscle as 1?),ThCo,Th,Co
"[1290, 1021, 1006]","[1369, 919, 1063]",LF ThCo 3 (same muscle as 1?),ThCo,Th,Co
"[1282, 1021, 1007]","[1367, 917, 1063]",LF ThCo 3 (same muscle as 1?),ThCo,Th,Co
"[1284, 1020, 1013]","[1359, 922, 1065]",LF ThCo 3 (same muscle as 1?),ThCo,Th,Co
"[1295, 1021, 1014]","[1367, 924, 1073]",LF ThCo 3 (same muscle as 1?),ThCo,Th,Co
"[1400, 1224, 1174]","[1445, 992, 1117]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1412, 1223, 1202]","[1446, 1019, 1132]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1395, 1216, 1231]","[1442, 1004, 1137]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1383, 1219, 1209]","[1439, 1000, 1134]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1377, 1220, 1180]","[1441, 984, 1122]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1373, 1217, 1152]","[1442, 954, 1108]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1379, 1218, 1127]","[1425, 938, 1088]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1409, 1214, 1146]","[1437, 974, 1106]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1402, 1209, 1121]","[1426, 968, 1090]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1388, 1211, 1095]","[1423, 941, 1080]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1394, 1200, 1077]","[1423, 966, 1082]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1420, 1177, 1086]","[1441, 1017, 1107]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1431, 1192, 1135]","[1444, 1039, 1123]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1433, 1204, 1167]","[1443, 1052, 1135]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1439, 1211, 1196]","[1444, 1064, 1151]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1428, 1226, 1232]","[1439, 1075, 1161]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1434, 1226, 1247]","[1440, 1066, 1163]",LF ThCo sternal anterior rotator,ThCo,Th,Co
"[1223, 774, 1047]","[1334, 868, 1029]",LF ThCo 4,ThCo,Th,Co
"[1218, 804, 1055]","[1333, 881, 1034]",LF ThCo 4,ThCo,Th,Co
"[1196, 783, 1026]","[1302, 867, 1015]",LF ThCo 4,ThCo,Th,Co
"[1203, 770, 1004]","[1305, 855, 1006]",LF ThCo 4,ThCo,Th,Co
"[1172, 763, 982]","[1267, 855, 990]",LF ThCo 4,ThCo,Th,Co
"[1281, 833, 925]","[1361, 873, 1025]",LF ThCo 4,ThCo,Th,Co
"[1132, 931, 817]","[1321, 863, 1015]",LF ThCo 4,ThCo,Th,Co
"[1119, 951, 821]","[1344, 874, 1030]",LF ThCo 4,ThCo,Th,Co
"[1082, 956, 808]","[1292, 864, 1005]",LF ThCo 4,ThCo,Th,Co
"[1066, 957, 806]","[1262, 867, 987]",LF ThCo 4,ThCo,Th,Co
"[1066, 941, 800]","[1261, 853, 981]",LF ThCo 4,ThCo,Th,Co
"[1046, 912, 773]","[1295, 876, 1009]",LF ThCo 4,ThCo,Th,Co
"[1085, 975, 815]","[1351, 885, 1037]",LF ThCo 4,ThCo,Th,Co
"[1095, 987, 823]","[1320, 885, 1027]",LF ThCo 4,ThCo,Th,Co
"[1039, 898, 757]","[1229, 863, 956]",LF ThCo 4,ThCo,Th,Co
"[1030, 888, 753]","[1201, 867, 929]",LF ThCo 4,ThCo,Th,Co
"[1041, 888, 747]","[1297, 854, 994]",LF ThCo 4,ThCo,Th,Co
"[1031, 875, 735]","[1216, 855, 930]",LF ThCo 4,ThCo,Th,Co
"[1024, 860, 730]","[1220, 856, 940]",LF ThCo 4,ThCo,Th,Co
"[1021, 860, 738]","[1194, 862, 919]",LF ThCo 4,ThCo,Th,Co
"[1045, 852, 737]","[1255, 846, 964]",LF ThCo 4,ThCo,Th,Co
"[1014, 844, 725]","[1168, 855, 888]",LF ThCo 4,ThCo,Th,Co
"[1009, 830, 723]","[1196, 857, 926]",LF ThCo 4,ThCo,Th,Co
"[1035, 831, 729]","[1238, 848, 959]",LF ThCo 4,ThCo,Th,Co
"[1026, 810, 732]","[1229, 854, 957]",LF ThCo 4,ThCo,Th,Co
"[1228, 902, 873]","[1367, 893, 1021]",LF ThCo 4,ThCo,Th,Co
"[1273, 906, 892]","[1397, 905, 1047]",LF ThCo 4,ThCo,Th,Co
"[1305, 888, 931]","[1389, 899, 1035]",LF ThCo 4,ThCo,Th,Co
"[1231, 814, 1088]","[1354, 836, 1125]",LF ThCo 5,ThCo,Th,Co
"[1255, 854, 1105]","[1363, 846, 1123]",LF ThCo 5,ThCo,Th,Co
"[1241, 841, 1112]","[1363, 842, 1138]",LF ThCo 5,ThCo,Th,Co
"[1277, 881, 1129]","[1396, 849, 1136]",LF ThCo 5,ThCo,Th,Co
"[1252, 865, 1132]","[1376, 848, 1155]",LF ThCo 5,ThCo,Th,Co
